Nama;NIK;Jenis Kelamin;Alamat;Divisi;Jabatan
Karyawan 47;1000000047;Perempuan;Depok;Marketing;Senior Manager
Karyawan 48;1000000048;Laki-laki;Jakarta;Operations;Director
Karyawan 49;1000000049;Laki-laki;Tangerang;HR;Manager
Karyawan 50;1000000050;Perempuan;Depok;Marketing;Staff
Karyawan 51;1000000051;Perempuan;Tangerang;Marketing;Senior Manager
Karyawan 52;1000000052;Perempuan;Bekasi;HR;Supervisor
Karyawan 53;1000000053;Laki-laki;Depok;HR;Staff
Karyawan 54;1000000054;Perempuan;Tangerang;Marketing;Manager
Karyawan 55;1000000055;Laki-laki;Depok;Finance;Staff
Karyawan 56;1000000056;Laki-laki;Bogor;Operations;Manager
Karyawan 57;1000000057;Perempuan;Depok;Finance;Director
Karyawan 58;1000000058;Laki-laki;Bogor;Operations;Senior Manager
Karyawan 59;1000000059;Laki-laki;Jakarta;IT;Staff
Karyawan 60;1000000060;Laki-laki;Jakarta;Finance;Senior Manager
Karyawan 61;1000000061;Laki-laki;Bogor;IT;Director
Karyawan 62;1000000062;Perempuan;Depok;Operations;Supervisor
Karyawan 63;1000000063;Perempuan;Bekasi;Finance;Supervisor
Karyawan 64;1000000064;Perempuan;Bekasi;Operations;Manager
Karyawan 65;1000000065;Perempuan;Bogor;Operations;Director
Karyawan 66;1000000066;Laki-laki;Jakarta;HR;Senior Manager
Karyawan 67;1000000067;Laki-laki;Jakarta;Finance;Supervisor
Karyawan 68;1000000068;Perempuan;Jakarta;Marketing;Staff
Karyawan 69;1000000069;Perempuan;Bekasi;Operations;Staff
Karyawan 70;1000000070;Perempuan;Depok;Operations;Supervisor
Karyawan 71;1000000071;Perempuan;Bogor;Marketing;Director
Karyawan 72;1000000072;Laki-laki;Bekasi;Marketing;Senior Manager
Karyawan 73;1000000073;Perempuan;Jakarta;Operations;Supervisor
Karyawan 74;1000000074;Perempuan;Jakarta;IT;Director
Karyawan 75;1000000075;Laki-laki;Bogor;IT;Director
Karyawan 76;1000000076;Perempuan;Bekasi;Marketing;Staff
Karyawan 77;1000000077;Laki-laki;Tangerang;Finance;Manager
Karyawan 78;1000000078;Laki-laki;Bekasi;Finance;Senior Manager
Karyawan 79;1000000079;Perempuan;Tangerang;IT;Staff
Karyawan 80;1000000080;Perempuan;Bekasi;HR;Director
Karyawan 81;1000000081;Perempuan;Tangerang;Operations;Supervisor
Karyawan 82;1000000082;Perempuan;Bekasi;IT;Staff
Karyawan 83;1000000083;Perempuan;Bekasi;HR;Manager
Karyawan 84;1000000084;Laki-laki;Tangerang;Finance;Director
Karyawan 85;1000000085;Perempuan;Tangerang;Operations;Manager
Karyawan 86;1000000086;Perempuan;Tangerang;Finance;Director
Karyawan 87;1000000087;Perempuan;Tangerang;Marketing;Staff
Karyawan 88;1000000088;Laki-laki;Jakarta;HR;Manager
Karyawan 89;1000000089;Perempuan;Bogor;Marketing;Manager
Karyawan 90;1000000090;Laki-laki;Depok;Marketing;Staff
Karyawan 91;1000000091;Perempuan;Bogor;Operations;Manager
Karyawan 92;1000000092;Perempuan;Bogor;IT;Staff
Karyawan 93;1000000093;Laki-laki;Tangerang;IT;Manager
Karyawan 94;1000000094;Laki-laki;Tangerang;Operations;Director
Karyawan 95;1000000095;Laki-laki;Depok;IT;Director
Karyawan 96;1000000096;Laki-laki;Tangerang;IT;Manager
Karyawan 97;1000000097;Perempuan;Tangerang;HR;Manager
Karyawan 98;1000000098;Perempuan;Bekasi;IT;Manager
Karyawan 99;1000000099;Laki-laki;Tangerang;HR;Director
Karyawan 100;1000000100;Perempuan;Bogor;Finance;Director
Karyawan 101;1000000101;Perempuan;Bekasi;HR;Director
Karyawan 102;1000000102;Perempuan;Jakarta;Operations;Manager
Karyawan 103;1000000103;Laki-laki;Tangerang;IT;Senior Manager
Karyawan 104;1000000104;Laki-laki;Tangerang;Operations;Manager
Karyawan 105;1000000105;Perempuan;Tangerang;Finance;Director
Karyawan 106;1000000106;Perempuan;Depok;HR;Director
Karyawan 107;1000000107;Perempuan;Bogor;Finance;Manager
Karyawan 108;1000000108;Laki-laki;Depok;Finance;Staff
Karyawan 109;1000000109;Laki-laki;Depok;IT;Manager
Karyawan 110;1000000110;Perempuan;Bogor;Marketing;Supervisor
Karyawan 111;1000000111;Perempuan;Bekasi;Marketing;Senior Manager
Karyawan 112;1000000112;Laki-laki;Bogor;Finance;Manager
Karyawan 113;1000000113;Perempuan;Tangerang;Finance;Staff
Karyawan 114;1000000114;Perempuan;Bogor;Operations;Director
Karyawan 115;1000000115;Perempuan;Jakarta;Marketing;Director
Karyawan 116;1000000116;Laki-laki;Bekasi;IT;Supervisor
Karyawan 117;1000000117;Laki-laki;Bogor;HR;Senior Manager
Karyawan 118;1000000118;Laki-laki;Jakarta;HR;Director
Karyawan 119;1000000119;Laki-laki;Bogor;Operations;Manager
Karyawan 120;1000000120;Laki-laki;Tangerang;Marketing;Manager
Karyawan 121;1000000121;Laki-laki;Jakarta;IT;Director
Karyawan 122;1000000122;Perempuan;Bekasi;HR;Senior Manager
Karyawan 123;1000000123;Perempuan;Bekasi;IT;Staff
Karyawan 124;1000000124;Laki-laki;Depok;IT;Director
Karyawan 125;1000000125;Perempuan;Bogor;Marketing;Senior Manager
Karyawan 126;1000000126;Perempuan;Depok;IT;Manager
Karyawan 127;1000000127;Laki-laki;Tangerang;Finance;Manager
Karyawan 128;1000000128;Perempuan;Tangerang;Marketing;Supervisor
Karyawan 129;1000000129;Laki-laki;Jakarta;Finance;Director
Karyawan 130;1000000130;Perempuan;Bekasi;Finance;Director
Karyawan 131;1000000131;Perempuan;Bekasi;Marketing;Supervisor
Karyawan 132;1000000132;Laki-laki;Depok;IT;Supervisor
Karyawan 133;1000000133;Perempuan;Tangerang;HR;Staff
Karyawan 134;1000000134;Perempuan;Jakarta;HR;Director
Karyawan 135;1000000135;Perempuan;Bekasi;Finance;Manager
Karyawan 136;1000000136;Laki-laki;Depok;Operations;Supervisor
Karyawan 137;1000000137;Perempuan;Bogor;HR;Manager
Karyawan 138;1000000138;Perempuan;Tangerang;Operations;Staff
Karyawan 139;1000000139;Laki-laki;Bogor;Operations;Manager
Karyawan 140;1000000140;Laki-laki;Bekasi;Marketing;Staff
Karyawan 141;1000000141;Laki-laki;Bekasi;Marketing;Manager
Karyawan 142;1000000142;Perempuan;Bekasi;IT;Director
Karyawan 143;1000000143;Perempuan;Bogor;Operations;Director
Karyawan 144;1000000144;Laki-laki;Tangerang;Marketing;Director
Karyawan 145;1000000145;Perempuan;Tangerang;IT;Senior Manager
Karyawan 146;1000000146;Perempuan;Bogor;IT;Supervisor
Karyawan 147;1000000147;Laki-laki;Tangerang;IT;Director
Karyawan 148;1000000148;Perempuan;Bogor;IT;Manager
Karyawan 149;1000000149;Laki-laki;Bogor;IT;Manager
Karyawan 150;1000000150;Perempuan;Bekasi;IT;Manager
Karyawan 151;1000000151;Laki-laki;Depok;Operations;Manager
Karyawan 152;1000000152;Perempuan;Jakarta;Operations;Manager
Karyawan 153;1000000153;Laki-laki;Jakarta;Marketing;Supervisor
Karyawan 154;1000000154;Perempuan;Bogor;Marketing;Senior Manager
Karyawan 155;1000000155;Perempuan;Jakarta;HR;Staff
Karyawan 156;1000000156;Perempuan;Tangerang;HR;Senior Manager
Karyawan 157;1000000157;Laki-laki;Bogor;Operations;Staff
Karyawan 158;1000000158;Perempuan;Jakarta;IT;Staff
Karyawan 159;1000000159;Laki-laki;Tangerang;Marketing;Director
Karyawan 160;1000000160;Laki-laki;Bogor;Finance;Director
Karyawan 161;1000000161;Perempuan;Jakarta;Marketing;Manager
Karyawan 162;1000000162;Laki-laki;Bekasi;HR;Manager
Karyawan 163;1000000163;Laki-laki;Bekasi;Operations;Staff
Karyawan 164;1000000164;Laki-laki;Depok;Operations;Director
Karyawan 165;1000000165;Perempuan;Bekasi;Operations;Manager
Karyawan 166;1000000166;Perempuan;Jakarta;IT;Director
Karyawan 167;1000000167;Perempuan;Depok;IT;Manager
Karyawan 168;1000000168;Perempuan;Tangerang;Finance;Senior Manager
Karyawan 169;1000000169;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 170;1000000170;Perempuan;Bekasi;HR;Supervisor
Karyawan 171;1000000171;Laki-laki;Tangerang;Finance;Manager
Karyawan 172;1000000172;Laki-laki;Jakarta;Marketing;Staff
Karyawan 173;1000000173;Laki-laki;Jakarta;HR;Supervisor
Karyawan 174;1000000174;Laki-laki;Jakarta;HR;Senior Manager
Karyawan 175;1000000175;Laki-laki;Bogor;Operations;Supervisor
Karyawan 176;1000000176;Perempuan;Bogor;HR;Supervisor
Karyawan 177;1000000177;Laki-laki;Bogor;Finance;Director
Karyawan 178;1000000178;Laki-laki;Bogor;HR;Staff
Karyawan 179;1000000179;Laki-laki;Bogor;IT;Director
Karyawan 180;1000000180;Perempuan;Bekasi;IT;Director
Karyawan 181;1000000181;Laki-laki;Jakarta;Marketing;Staff
Karyawan 182;1000000182;Perempuan;Bogor;HR;Supervisor
Karyawan 183;1000000183;Laki-laki;Depok;IT;Senior Manager
Karyawan 184;1000000184;Perempuan;Bekasi;Marketing;Senior Manager
Karyawan 185;1000000185;Perempuan;Bogor;Finance;Supervisor
Karyawan 186;1000000186;Perempuan;Jakarta;HR;Manager
Karyawan 187;1000000187;Laki-laki;Depok;Operations;Director
Karyawan 188;1000000188;Laki-laki;Bekasi;Operations;Senior Manager
Karyawan 189;1000000189;Laki-laki;Depok;Operations;Director
Karyawan 190;1000000190;Laki-laki;Depok;Marketing;Supervisor
Karyawan 191;1000000191;Laki-laki;Bogor;Operations;Director
Karyawan 192;1000000192;Perempuan;Jakarta;Operations;Manager
Karyawan 193;1000000193;Laki-laki;Tangerang;IT;Manager
Karyawan 194;1000000194;Laki-laki;Tangerang;Finance;Staff
Karyawan 195;1000000195;Perempuan;Bogor;HR;Staff
Karyawan 196;1000000196;Laki-laki;Tangerang;Marketing;Staff
Karyawan 197;1000000197;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 198;1000000198;Perempuan;Tangerang;Operations;Director
Karyawan 199;1000000199;Perempuan;Jakarta;Finance;Senior Manager
Karyawan 200;1000000200;Laki-laki;Tangerang;Marketing;Supervisor
Karyawan 201;1000000201;Perempuan;Tangerang;Marketing;Director
Karyawan 202;1000000202;Perempuan;Bekasi;Marketing;Senior Manager
Karyawan 203;1000000203;Perempuan;Jakarta;IT;Manager
Karyawan 204;1000000204;Perempuan;Bogor;Operations;Senior Manager
Karyawan 205;1000000205;Perempuan;Bekasi;Marketing;Staff
Karyawan 206;1000000206;Laki-laki;Tangerang;IT;Manager
Karyawan 207;1000000207;Laki-laki;Bogor;Operations;Supervisor
Karyawan 208;1000000208;Laki-laki;Jakarta;Operations;Director
Karyawan 209;1000000209;Laki-laki;Bogor;HR;Manager
Karyawan 210;1000000210;Laki-laki;Jakarta;IT;Director
Karyawan 211;1000000211;Perempuan;Depok;HR;Director
Karyawan 212;1000000212;Perempuan;Depok;HR;Manager
Karyawan 213;1000000213;Perempuan;Tangerang;Marketing;Senior Manager
Karyawan 214;1000000214;Laki-laki;Bekasi;Marketing;Supervisor
Karyawan 215;1000000215;Laki-laki;Depok;Operations;Staff
Karyawan 216;1000000216;Laki-laki;Bogor;HR;Manager
Karyawan 217;1000000217;Perempuan;Depok;Operations;Staff
Karyawan 218;1000000218;Perempuan;Tangerang;Finance;Director
Karyawan 219;1000000219;Laki-laki;Jakarta;Marketing;Manager
Karyawan 220;1000000220;Perempuan;Tangerang;Marketing;Staff
Karyawan 221;1000000221;Perempuan;Depok;Operations;Staff
Karyawan 222;1000000222;Laki-laki;Bogor;IT;Director
Karyawan 223;1000000223;Laki-laki;Bekasi;Finance;Director
Karyawan 224;1000000224;Perempuan;Jakarta;Finance;Director
Karyawan 225;1000000225;Perempuan;Depok;Marketing;Director
Karyawan 226;1000000226;Perempuan;Tangerang;IT;Senior Manager
Karyawan 227;1000000227;Laki-laki;Tangerang;Marketing;Staff
Karyawan 228;1000000228;Perempuan;Bekasi;Marketing;Supervisor
Karyawan 229;1000000229;Laki-laki;Bekasi;Marketing;Staff
Karyawan 230;1000000230;Laki-laki;Bekasi;Finance;Staff
Karyawan 231;1000000231;Perempuan;Tangerang;IT;Supervisor
Karyawan 232;1000000232;Laki-laki;Jakarta;IT;Supervisor
Karyawan 233;1000000233;Laki-laki;Depok;Operations;Senior Manager
Karyawan 234;1000000234;Laki-laki;Tangerang;Finance;Staff
Karyawan 235;1000000235;Laki-laki;Jakarta;IT;Supervisor
Karyawan 236;1000000236;Perempuan;Bogor;HR;Manager
Karyawan 237;1000000237;Laki-laki;Jakarta;Marketing;Supervisor
Karyawan 238;1000000238;Perempuan;Bogor;Finance;Staff
Karyawan 239;1000000239;Perempuan;Bogor;IT;Supervisor
Karyawan 240;1000000240;Perempuan;Tangerang;Marketing;Senior Manager
Karyawan 241;1000000241;Laki-laki;Bogor;IT;Senior Manager
Karyawan 242;1000000242;Perempuan;Tangerang;HR;Senior Manager
Karyawan 243;1000000243;Laki-laki;Jakarta;IT;Staff
Karyawan 244;1000000244;Laki-laki;Depok;Finance;Staff
Karyawan 245;1000000245;Laki-laki;Bekasi;Marketing;Manager
Karyawan 246;1000000246;Perempuan;Bogor;Marketing;Supervisor
Karyawan 247;1000000247;Perempuan;Jakarta;Finance;Supervisor
Karyawan 248;1000000248;Perempuan;Tangerang;Marketing;Staff
Karyawan 249;1000000249;Laki-laki;Jakarta;Operations;Manager
Karyawan 250;1000000250;Laki-laki;Jakarta;Finance;Supervisor
Karyawan 251;1000000251;Laki-laki;Depok;HR;Director
Karyawan 252;1000000252;Laki-laki;Jakarta;IT;Staff
Karyawan 253;1000000253;Laki-laki;Bogor;Marketing;Director
Karyawan 254;1000000254;Laki-laki;Jakarta;Finance;Supervisor
Karyawan 255;1000000255;Perempuan;Tangerang;HR;Director
Karyawan 256;1000000256;Laki-laki;Tangerang;Finance;Staff
Karyawan 257;1000000257;Laki-laki;Bekasi;HR;Director
Karyawan 258;1000000258;Laki-laki;Bogor;Operations;Staff
Karyawan 259;1000000259;Laki-laki;Bekasi;Operations;Supervisor
Karyawan 260;1000000260;Laki-laki;Bogor;Marketing;Senior Manager
Karyawan 261;1000000261;Perempuan;Depok;IT;Supervisor
Karyawan 262;1000000262;Perempuan;Bogor;IT;Supervisor
Karyawan 263;1000000263;Perempuan;Bogor;Operations;Director
Karyawan 264;1000000264;Perempuan;Bogor;HR;Senior Manager
Karyawan 265;1000000265;Laki-laki;Bekasi;Finance;Manager
Karyawan 266;1000000266;Perempuan;Bogor;HR;Director
Karyawan 267;1000000267;Laki-laki;Depok;IT;Manager
Karyawan 268;1000000268;Perempuan;Bogor;IT;Staff
Karyawan 269;1000000269;Laki-laki;Depok;IT;Staff
Karyawan 270;1000000270;Perempuan;Tangerang;Finance;Supervisor
Karyawan 271;1000000271;Perempuan;Depok;IT;Senior Manager
Karyawan 272;1000000272;Laki-laki;Depok;Operations;Director
Karyawan 273;1000000273;Perempuan;Depok;HR;Manager
Karyawan 274;1000000274;Laki-laki;Depok;IT;Manager
Karyawan 275;1000000275;Laki-laki;Bekasi;IT;Supervisor
Karyawan 276;1000000276;Laki-laki;Jakarta;Marketing;Supervisor
Karyawan 277;1000000277;Laki-laki;Jakarta;IT;Supervisor
Karyawan 278;1000000278;Perempuan;Depok;HR;Senior Manager
Karyawan 279;1000000279;Laki-laki;Jakarta;HR;Senior Manager
Karyawan 280;1000000280;Laki-laki;Jakarta;Marketing;Manager
Karyawan 281;1000000281;Laki-laki;Tangerang;Operations;Manager
Karyawan 282;1000000282;Perempuan;Bogor;HR;Director
Karyawan 283;1000000283;Perempuan;Tangerang;Finance;Staff
Karyawan 284;1000000284;Laki-laki;Bogor;Marketing;Supervisor
Karyawan 285;1000000285;Laki-laki;Bogor;IT;Supervisor
Karyawan 286;1000000286;Laki-laki;Depok;Marketing;Supervisor
Karyawan 287;1000000287;Perempuan;Depok;IT;Manager
Karyawan 288;1000000288;Perempuan;Depok;Finance;Supervisor
Karyawan 289;1000000289;Perempuan;Bekasi;HR;Manager
Karyawan 290;1000000290;Laki-laki;Bekasi;IT;Director
Karyawan 291;1000000291;Perempuan;Bekasi;HR;Supervisor
Karyawan 292;1000000292;Perempuan;Bekasi;IT;Supervisor
Karyawan 293;1000000293;Laki-laki;Tangerang;HR;Senior Manager
Karyawan 294;1000000294;Laki-laki;Bekasi;Finance;Staff
Karyawan 295;1000000295;Laki-laki;Jakarta;Marketing;Senior Manager
Karyawan 296;1000000296;Perempuan;Bekasi;Finance;Staff
Karyawan 297;1000000297;Perempuan;Bogor;HR;Senior Manager
Karyawan 298;1000000298;Perempuan;Tangerang;Finance;Senior Manager
Karyawan 299;1000000299;Laki-laki;Tangerang;Operations;Staff
Karyawan 300;1000000300;Laki-laki;Tangerang;Finance;Director
Karyawan 301;1000000301;Laki-laki;Bekasi;Finance;Staff
Karyawan 302;1000000302;Perempuan;Depok;HR;Staff
Karyawan 303;1000000303;Perempuan;Bogor;Marketing;Manager
Karyawan 304;1000000304;Perempuan;Depok;Finance;Supervisor
Karyawan 305;1000000305;Perempuan;Tangerang;IT;Senior Manager
Karyawan 306;1000000306;Perempuan;Jakarta;Operations;Director
Karyawan 307;1000000307;Laki-laki;Bekasi;HR;Senior Manager
Karyawan 308;1000000308;Laki-laki;Bogor;IT;Senior Manager
Karyawan 309;1000000309;Laki-laki;Bekasi;HR;Staff
Karyawan 310;1000000310;Laki-laki;Tangerang;Operations;Director
Karyawan 311;1000000311;Laki-laki;Tangerang;Finance;Director
Karyawan 312;1000000312;Perempuan;Tangerang;IT;Staff
Karyawan 313;1000000313;Perempuan;Jakarta;IT;Manager
Karyawan 314;1000000314;Laki-laki;Depok;Marketing;Manager
Karyawan 315;1000000315;Laki-laki;Bogor;HR;Director
Karyawan 316;1000000316;Perempuan;Tangerang;IT;Supervisor
Karyawan 317;1000000317;Perempuan;Bogor;Marketing;Supervisor
Karyawan 318;1000000318;Perempuan;Tangerang;IT;Director
Karyawan 319;1000000319;Laki-laki;Depok;IT;Manager
Karyawan 320;1000000320;Laki-laki;Bekasi;Finance;Senior Manager
Karyawan 321;1000000321;Laki-laki;Bekasi;IT;Manager
Karyawan 322;1000000322;Laki-laki;Bogor;Operations;Director
Karyawan 323;1000000323;Perempuan;Jakarta;Finance;Supervisor
Karyawan 324;1000000324;Laki-laki;Tangerang;IT;Senior Manager
Karyawan 325;1000000325;Perempuan;Bekasi;Marketing;Staff
Karyawan 326;1000000326;Laki-laki;Depok;IT;Staff
Karyawan 327;1000000327;Laki-laki;Depok;Finance;Staff
Karyawan 328;1000000328;Perempuan;Bogor;IT;Director
Karyawan 329;1000000329;Laki-laki;Jakarta;Operations;Director
Karyawan 330;1000000330;Perempuan;Tangerang;HR;Staff
Karyawan 331;1000000331;Laki-laki;Bekasi;HR;Senior Manager
Karyawan 332;1000000332;Perempuan;Tangerang;Marketing;Staff
Karyawan 333;1000000333;Perempuan;Bogor;Operations;Staff
Karyawan 334;1000000334;Laki-laki;Bekasi;IT;Staff
Karyawan 335;1000000335;Perempuan;Jakarta;Marketing;Manager
Karyawan 336;1000000336;Laki-laki;Bekasi;HR;Manager
Karyawan 337;1000000337;Laki-laki;Bekasi;Operations;Director
Karyawan 338;1000000338;Perempuan;Tangerang;HR;Staff
Karyawan 339;1000000339;Perempuan;Bogor;IT;Manager
Karyawan 340;1000000340;Laki-laki;Bogor;IT;Manager
Karyawan 341;1000000341;Laki-laki;Bogor;Marketing;Senior Manager
Karyawan 342;1000000342;Perempuan;Bekasi;Finance;Staff
Karyawan 343;1000000343;Laki-laki;Tangerang;Finance;Staff
Karyawan 344;1000000344;Laki-laki;Bekasi;Finance;Director
Karyawan 345;1000000345;Perempuan;Tangerang;Finance;Director
Karyawan 346;1000000346;Laki-laki;Depok;HR;Manager
Karyawan 347;1000000347;Perempuan;Tangerang;HR;Senior Manager
Karyawan 348;1000000348;Laki-laki;Jakarta;HR;Supervisor
Karyawan 349;1000000349;Perempuan;Tangerang;Finance;Director
Karyawan 350;1000000350;Laki-laki;Jakarta;HR;Manager
Karyawan 351;1000000351;Laki-laki;Bogor;IT;Senior Manager
Karyawan 352;1000000352;Perempuan;Bogor;HR;Director
Karyawan 353;1000000353;Perempuan;Bogor;Operations;Supervisor
Karyawan 354;1000000354;Laki-laki;Depok;IT;Senior Manager
Karyawan 355;1000000355;Laki-laki;Bogor;Operations;Supervisor
Karyawan 356;1000000356;Perempuan;Bogor;Finance;Senior Manager
Karyawan 357;1000000357;Perempuan;Bekasi;Marketing;Director
Karyawan 358;1000000358;Perempuan;Tangerang;IT;Manager
Karyawan 359;1000000359;Perempuan;Jakarta;Finance;Supervisor
Karyawan 360;1000000360;Laki-laki;Depok;Finance;Manager
Karyawan 361;1000000361;Laki-laki;Jakarta;Marketing;Director
Karyawan 362;1000000362;Perempuan;Bekasi;Operations;Manager
Karyawan 363;1000000363;Perempuan;Tangerang;HR;Staff
Karyawan 364;1000000364;Perempuan;Tangerang;Operations;Staff
Karyawan 365;1000000365;Laki-laki;Tangerang;Finance;Manager
Karyawan 366;1000000366;Laki-laki;Bogor;Marketing;Director
Karyawan 367;1000000367;Laki-laki;Bogor;Operations;Director
Karyawan 368;1000000368;Perempuan;Jakarta;Marketing;Director
Karyawan 369;1000000369;Laki-laki;Depok;Finance;Senior Manager
Karyawan 370;1000000370;Laki-laki;Tangerang;Operations;Staff
Karyawan 371;1000000371;Perempuan;Bogor;HR;Director
Karyawan 372;1000000372;Laki-laki;Tangerang;Operations;Staff
Karyawan 373;1000000373;Perempuan;Bogor;IT;Manager
Karyawan 374;1000000374;Perempuan;Bogor;HR;Staff
Karyawan 375;1000000375;Perempuan;Bogor;Finance;Manager
Karyawan 376;1000000376;Laki-laki;Bogor;Operations;Director
Karyawan 377;1000000377;Laki-laki;Jakarta;IT;Manager
Karyawan 378;1000000378;Perempuan;Jakarta;Marketing;Supervisor
Karyawan 379;1000000379;Laki-laki;Bekasi;HR;Senior Manager
Karyawan 380;1000000380;Laki-laki;Bogor;Marketing;Director
Karyawan 381;1000000381;Laki-laki;Depok;Finance;Director
Karyawan 382;1000000382;Perempuan;Bogor;HR;Senior Manager
Karyawan 383;1000000383;Laki-laki;Bogor;Operations;Staff
Karyawan 384;1000000384;Laki-laki;Depok;IT;Director
Karyawan 385;1000000385;Laki-laki;Bekasi;Marketing;Senior Manager
Karyawan 386;1000000386;Perempuan;Jakarta;Marketing;Supervisor
Karyawan 387;1000000387;Perempuan;Tangerang;HR;Staff
Karyawan 388;1000000388;Laki-laki;Bekasi;Marketing;Manager
Karyawan 389;1000000389;Laki-laki;Tangerang;Finance;Supervisor
Karyawan 390;1000000390;Perempuan;Depok;Operations;Director
Karyawan 391;1000000391;Laki-laki;Depok;HR;Director
Karyawan 392;1000000392;Laki-laki;Tangerang;Finance;Director
Karyawan 393;1000000393;Laki-laki;Jakarta;Marketing;Manager
Karyawan 394;1000000394;Perempuan;Tangerang;Operations;Director
Karyawan 395;1000000395;Perempuan;Depok;Operations;Director
Karyawan 396;1000000396;Perempuan;Tangerang;Marketing;Staff
Karyawan 397;1000000397;Laki-laki;Jakarta;Operations;Staff
Karyawan 398;1000000398;Laki-laki;Bekasi;IT;Supervisor
Karyawan 399;1000000399;Laki-laki;Jakarta;IT;Manager
Karyawan 400;1000000400;Laki-laki;Depok;Operations;Director
Karyawan 401;1000000401;Perempuan;Jakarta;Finance;Director
Karyawan 402;1000000402;Laki-laki;Bogor;Operations;Director
Karyawan 403;1000000403;Laki-laki;Bekasi;Finance;Senior Manager
Karyawan 404;1000000404;Laki-laki;Tangerang;Marketing;Staff
Karyawan 405;1000000405;Laki-laki;Depok;Finance;Supervisor
Karyawan 406;1000000406;Perempuan;Jakarta;IT;Director
Karyawan 407;1000000407;Perempuan;Jakarta;HR;Staff
Karyawan 408;1000000408;Laki-laki;Depok;Marketing;Director
Karyawan 409;1000000409;Laki-laki;Bekasi;Finance;Supervisor
Karyawan 410;1000000410;Laki-laki;Bekasi;Marketing;Staff
Karyawan 411;1000000411;Laki-laki;Depok;HR;Supervisor
Karyawan 412;1000000412;Laki-laki;Bekasi;HR;Manager
Karyawan 413;1000000413;Laki-laki;Jakarta;Operations;Supervisor
Karyawan 414;1000000414;Laki-laki;Bekasi;Operations;Supervisor
Karyawan 415;1000000415;Perempuan;Depok;Finance;Supervisor
Karyawan 416;1000000416;Perempuan;Tangerang;HR;Senior Manager
Karyawan 417;1000000417;Perempuan;Jakarta;Finance;Staff
