No;Nama;NIK;Jenis Kelamin;Alamat;Divisi;Jabatan;
41;Karyawan 41;1000000041;Perempuan;Bogor;HR;Staff;
42;Karyawan 42;1000000042;Laki-laki;Jakarta;Finance;Manager;
43;Karyawan 43;1000000043;Perempuan;Bekasi;Marketing;Staff;
44;Karyawan 44;1000000044;Laki-laki;Jakarta;Marketing;Staff;
45;Karyawan 45;1000000045;Perempuan;Tangerang;IT;Manager;
46;Karyawan 46;1000000046;Perempuan;Jakarta;HR;Senior Manager;
47;Karyawan 47;1000000047;Perempuan;Depok;Marketing;Senior Manager;
48;Karyawan 48;1000000048;Laki-laki;Jakarta;Operations;Director;
49;Karyawan 49;1000000049;Laki-laki;Tangerang;HR;Manager;
50;Karyawan 50;1000000050;Perempuan;Depok;Marketing;Staff;
51;Karyawan 51;1000000051;Perempuan;Tangerang;Marketing;Senior Manager;
52;Karyawan 52;1000000052;Perempuan;Bekasi;HR;Supervisor;
53;Karyawan 53;1000000053;Laki-laki;Depok;HR;Staff;
54;Karyawan 54;1000000054;Perempuan;Tangerang;Marketing;Manager;
55;Karyawan 55;1000000055;Laki-laki;Depok;Finance;Staff;
56;Karyawan 56;1000000056;Laki-laki;Bogor;Operations;Manager;
57;Karyawan 57;1000000057;Perempuan;Depok;Finance;Director;
58;Karyawan 58;1000000058;Laki-laki;Bogor;Operations;Senior Manager;
59;Karyawan 59;1000000059;Laki-laki;Jakarta;IT;Staff;
60;Karyawan 60;1000000060;Laki-laki;Jakarta;Finance;Senior Manager;
61;Karyawan 61;1000000061;Laki-laki;Bogor;IT;Director;
62;Karyawan 62;1000000062;Perempuan;Depok;Operations;Supervisor;
63;Karyawan 63;1000000063;Perempuan;Bekasi;Finance;Supervisor;
64;Karyawan 64;1000000064;Perempuan;Bekasi;Operations;Manager;
65;Karyawan 65;1000000065;Perempuan;Bogor;Operations;Director;
66;Karyawan 66;1000000066;Laki-laki;Jakarta;HR;Senior Manager;
67;Karyawan 67;1000000067;Laki-laki;Jakarta;Finance;Supervisor;
68;Karyawan 68;1000000068;Perempuan;Jakarta;Marketing;Staff;
69;Karyawan 69;1000000069;Perempuan;Bekasi;Operations;Staff;
70;Karyawan 70;1000000070;Perempuan;Depok;Operations;Supervisor;
71;Karyawan 71;1000000071;Perempuan;Bogor;Marketing;Director;
72;Karyawan 72;1000000072;Laki-laki;Bekasi;Marketing;Senior Manager;
73;Karyawan 73;1000000073;Perempuan;Jakarta;Operations;Supervisor;
74;Karyawan 74;1000000074;Perempuan;Jakarta;IT;Director;
75;Karyawan 75;1000000075;Laki-laki;Bogor;IT;Director;
76;Karyawan 76;1000000076;Perempuan;Bekasi;Marketing;Staff;
77;Karyawan 77;1000000077;Laki-laki;Tangerang;Finance;Manager;
78;Karyawan 78;1000000078;Laki-laki;Bekasi;Finance;Senior Manager;
79;Karyawan 79;1000000079;Perempuan;Tangerang;IT;Staff;
80;Karyawan 80;1000000080;Perempuan;Bekasi;HR;Director;
81;Karyawan 81;1000000081;Perempuan;Tangerang;Operations;Supervisor;
82;Karyawan 82;1000000082;Perempuan;Bekasi;IT;Staff;
83;Karyawan 83;1000000083;Perempuan;Bekasi;HR;Manager;
84;Karyawan 84;1000000084;Laki-laki;Tangerang;Finance;Director;
85;Karyawan 85;1000000085;Perempuan;Tangerang;Operations;Manager;
86;Karyawan 86;1000000086;Perempuan;Tangerang;Finance;Director;
87;Karyawan 87;1000000087;Perempuan;Tangerang;Marketing;Staff;
88;Karyawan 88;1000000088;Laki-laki;Jakarta;HR;Manager;
89;Karyawan 89;1000000089;Perempuan;Bogor;Marketing;Manager;
90;Karyawan 90;1000000090;Laki-laki;Depok;Marketing;Staff;
91;Karyawan 91;1000000091;Perempuan;Bogor;Operations;Manager;
92;Karyawan 92;1000000092;Perempuan;Bogor;IT;Staff;
93;Karyawan 93;1000000093;Laki-laki;Tangerang;IT;Manager;
94;Karyawan 94;1000000094;Laki-laki;Tangerang;Operations;Director;
95;Karyawan 95;1000000095;Laki-laki;Depok;IT;Director;
96;Karyawan 96;1000000096;Laki-laki;Tangerang;IT;Manager;
97;Karyawan 97;1000000097;Perempuan;Tangerang;HR;Manager;
98;Karyawan 98;1000000098;Perempuan;Bekasi;IT;Manager;
99;Karyawan 99;1000000099;Laki-laki;Tangerang;HR;Director;
100;Karyawan 100;1000000100;Perempuan;Bogor;Finance;Director;
101;Karyawan 101;1000000101;Perempuan;Bekasi;HR;Director;
102;Karyawan 102;1000000102;Perempuan;Jakarta;Operations;Manager;
103;Karyawan 103;1000000103;Laki-laki;Tangerang;IT;Senior Manager;
104;Karyawan 104;1000000104;Laki-laki;Tangerang;Operations;Manager;
105;Karyawan 105;1000000105;Perempuan;Tangerang;Finance;Director;
106;Karyawan 106;1000000106;Perempuan;Depok;HR;Director;
107;Karyawan 107;1000000107;Perempuan;Bogor;Finance;Manager;
108;Karyawan 108;1000000108;Laki-laki;Depok;Finance;Staff;
109;Karyawan 109;1000000109;Laki-laki;Depok;IT;Manager;
110;Karyawan 110;1000000110;Perempuan;Bogor;Marketing;Supervisor;
111;Karyawan 111;1000000111;Perempuan;Bekasi;Marketing;Senior Manager;
112;Karyawan 112;1000000112;Laki-laki;Bogor;Finance;Manager;
113;Karyawan 113;1000000113;Perempuan;Tangerang;Finance;Staff;
114;Karyawan 114;1000000114;Perempuan;Bogor;Operations;Director;
115;Karyawan 115;1000000115;Perempuan;Jakarta;Marketing;Director;
116;Karyawan 116;1000000116;Laki-laki;Bekasi;IT;Supervisor;
117;Karyawan 117;1000000117;Laki-laki;Bogor;HR;Senior Manager;
118;Karyawan 118;1000000118;Laki-laki;Jakarta;HR;Director;
119;Karyawan 119;1000000119;Laki-laki;Bogor;Operations;Manager;
120;Karyawan 120;1000000120;Laki-laki;Tangerang;Marketing;Manager;
121;Karyawan 121;1000000121;Laki-laki;Jakarta;IT;Director;
122;Karyawan 122;1000000122;Perempuan;Bekasi;HR;Senior Manager;
123;Karyawan 123;1000000123;Perempuan;Bekasi;IT;Staff;
124;Karyawan 124;1000000124;Laki-laki;Depok;IT;Director;
125;Karyawan 125;1000000125;Perempuan;Bogor;Marketing;Senior Manager;
126;Karyawan 126;1000000126;Perempuan;Depok;IT;Manager;
127;Karyawan 127;1000000127;Laki-laki;Tangerang;Finance;Manager;
128;Karyawan 128;1000000128;Perempuan;Tangerang;Marketing;Supervisor;
129;Karyawan 129;1000000129;Laki-laki;Jakarta;Finance;Director;
130;Karyawan 130;1000000130;Perempuan;Bekasi;Finance;Director;
131;Karyawan 131;1000000131;Perempuan;Bekasi;Marketing;Supervisor;
132;Karyawan 132;1000000132;Laki-laki;Depok;IT;Supervisor;
133;Karyawan 133;1000000133;Perempuan;Tangerang;HR;Staff;
134;Karyawan 134;1000000134;Perempuan;Jakarta;HR;Director;
135;Karyawan 135;1000000135;Perempuan;Bekasi;Finance;Manager;
136;Karyawan 136;1000000136;Laki-laki;Depok;Operations;Supervisor;
137;Karyawan 137;1000000137;Perempuan;Bogor;HR;Manager;
138;Karyawan 138;1000000138;Perempuan;Tangerang;Operations;Staff;
139;Karyawan 139;1000000139;Laki-laki;Bogor;Operations;Manager;
140;Karyawan 140;1000000140;Laki-laki;Bekasi;Marketing;Staff;
141;Karyawan 141;1000000141;Laki-laki;Bekasi;Marketing;Manager;
142;Karyawan 142;1000000142;Perempuan;Bekasi;IT;Director;
143;Karyawan 143;1000000143;Perempuan;Bogor;Operations;Director;
144;Karyawan 144;1000000144;Laki-laki;Tangerang;Marketing;Director;
145;Karyawan 145;1000000145;Perempuan;Tangerang;IT;Senior Manager;
146;Karyawan 146;1000000146;Perempuan;Bogor;IT;Supervisor;
147;Karyawan 147;1000000147;Laki-laki;Tangerang;IT;Director;
148;Karyawan 148;1000000148;Perempuan;Bogor;IT;Manager;
149;Karyawan 149;1000000149;Laki-laki;Bogor;IT;Manager;
150;Karyawan 150;1000000150;Perempuan;Bekasi;IT;Manager;
151;Karyawan 151;1000000151;Laki-laki;Depok;Operations;Manager;
152;Karyawan 152;1000000152;Perempuan;Jakarta;Operations;Manager;
153;Karyawan 153;1000000153;Laki-laki;Jakarta;Marketing;Supervisor;
154;Karyawan 154;1000000154;Perempuan;Bogor;Marketing;Senior Manager;
155;Karyawan 155;1000000155;Perempuan;Jakarta;HR;Staff;
156;Karyawan 156;1000000156;Perempuan;Tangerang;HR;Senior Manager;
157;Karyawan 157;1000000157;Laki-laki;Bogor;Operations;Staff;
158;Karyawan 158;1000000158;Perempuan;Jakarta;IT;Staff;
159;Karyawan 159;1000000159;Laki-laki;Tangerang;Marketing;Director;
160;Karyawan 160;1000000160;Laki-laki;Bogor;Finance;Director;
161;Karyawan 161;1000000161;Perempuan;Jakarta;Marketing;Manager;
162;Karyawan 162;1000000162;Laki-laki;Bekasi;HR;Manager;
163;Karyawan 163;1000000163;Laki-laki;Bekasi;Operations;Staff;
164;Karyawan 164;1000000164;Laki-laki;Depok;Operations;Director;
165;Karyawan 165;1000000165;Perempuan;Bekasi;Operations;Manager;
166;Karyawan 166;1000000166;Perempuan;Jakarta;IT;Director;
167;Karyawan 167;1000000167;Perempuan;Depok;IT;Manager;
168;Karyawan 168;1000000168;Perempuan;Tangerang;Finance;Senior Manager;
169;Karyawan 169;1000000169;Laki-laki;Jakarta;Marketing;Senior Manager;
170;Karyawan 170;1000000170;Perempuan;Bekasi;HR;Supervisor;
171;Karyawan 171;1000000171;Laki-laki;Tangerang;Finance;Manager;
172;Karyawan 172;1000000172;Laki-laki;Jakarta;Marketing;Staff;
173;Karyawan 173;1000000173;Laki-laki;Jakarta;HR;Supervisor;
174;Karyawan 174;1000000174;Laki-laki;Jakarta;HR;Senior Manager;
175;Karyawan 175;1000000175;Laki-laki;Bogor;Operations;Supervisor;
176;Karyawan 176;1000000176;Perempuan;Bogor;HR;Supervisor;
177;Karyawan 177;1000000177;Laki-laki;Bogor;Finance;Director;
178;Karyawan 178;1000000178;Laki-laki;Bogor;HR;Staff;
179;Karyawan 179;1000000179;Laki-laki;Bogor;IT;Director;
180;Karyawan 180;1000000180;Perempuan;Bekasi;IT;Director;
181;Karyawan 181;1000000181;Laki-laki;Jakarta;Marketing;Staff;
182;Karyawan 182;1000000182;Perempuan;Bogor;HR;Supervisor;
183;Karyawan 183;1000000183;Laki-laki;Depok;IT;Senior Manager;
184;Karyawan 184;1000000184;Perempuan;Bekasi;Marketing;Senior Manager;
185;Karyawan 185;1000000185;Perempuan;Bogor;Finance;Supervisor;
186;Karyawan 186;1000000186;Perempuan;Jakarta;HR;Manager;
187;Karyawan 187;1000000187;Laki-laki;Depok;Operations;Director;
188;Karyawan 188;1000000188;Laki-laki;Bekasi;Operations;Senior Manager;
189;Karyawan 189;1000000189;Laki-laki;Depok;Operations;Director;
190;Karyawan 190;1000000190;Laki-laki;Depok;Marketing;Supervisor;
191;Karyawan 191;1000000191;Laki-laki;Bogor;Operations;Director;
192;Karyawan 192;1000000192;Perempuan;Jakarta;Operations;Manager;
193;Karyawan 193;1000000193;Laki-laki;Tangerang;IT;Manager;
194;Karyawan 194;1000000194;Laki-laki;Tangerang;Finance;Staff;
195;Karyawan 195;1000000195;Perempuan;Bogor;HR;Staff;
196;Karyawan 196;1000000196;Laki-laki;Tangerang;Marketing;Staff;
197;Karyawan 197;1000000197;Laki-laki;Jakarta;Marketing;Senior Manager;
198;Karyawan 198;1000000198;Perempuan;Tangerang;Operations;Director;
199;Karyawan 199;1000000199;Perempuan;Jakarta;Finance;Senior Manager;
200;Karyawan 200;1000000200;Laki-laki;Tangerang;Marketing;Supervisor;
201;Karyawan 201;1000000201;Perempuan;Tangerang;Marketing;Director;
202;Karyawan 202;1000000202;Perempuan;Bekasi;Marketing;Senior Manager;
203;Karyawan 203;1000000203;Perempuan;Jakarta;IT;Manager;
204;Karyawan 204;1000000204;Perempuan;Bogor;Operations;Senior Manager;
205;Karyawan 205;1000000205;Perempuan;Bekasi;Marketing;Staff;
206;Karyawan 206;1000000206;Laki-laki;Tangerang;IT;Manager;
207;Karyawan 207;1000000207;Laki-laki;Bogor;Operations;Supervisor;
208;Karyawan 208;1000000208;Laki-laki;Jakarta;Operations;Director;
209;Karyawan 209;1000000209;Laki-laki;Bogor;HR;Manager;
210;Karyawan 210;1000000210;Laki-laki;Jakarta;IT;Director;
211;Karyawan 211;1000000211;Perempuan;Depok;HR;Director;
212;Karyawan 212;1000000212;Perempuan;Depok;HR;Manager;
213;Karyawan 213;1000000213;Perempuan;Tangerang;Marketing;Senior Manager;
214;Karyawan 214;1000000214;Laki-laki;Bekasi;Marketing;Supervisor;
215;Karyawan 215;1000000215;Laki-laki;Depok;Operations;Staff;
216;Karyawan 216;1000000216;Laki-laki;Bogor;HR;Manager;
217;Karyawan 217;1000000217;Perempuan;Depok;Operations;Staff;
218;Karyawan 218;1000000218;Perempuan;Tangerang;Finance;Director;
219;Karyawan 219;1000000219;Laki-laki;Jakarta;Marketing;Manager;
220;Karyawan 220;1000000220;Perempuan;Tangerang;Marketing;Staff;
221;Karyawan 221;1000000221;Perempuan;Depok;Operations;Staff;
222;Karyawan 222;1000000222;Laki-laki;Bogor;IT;Director;
223;Karyawan 223;1000000223;Laki-laki;Bekasi;Finance;Director;
224;Karyawan 224;1000000224;Perempuan;Jakarta;Finance;Director;
225;Karyawan 225;1000000225;Perempuan;Depok;Marketing;Director;
226;Karyawan 226;1000000226;Perempuan;Tangerang;IT;Senior Manager;
227;Karyawan 227;1000000227;Laki-laki;Tangerang;Marketing;Staff;
228;Karyawan 228;1000000228;Perempuan;Bekasi;Marketing;Supervisor;
229;Karyawan 229;1000000229;Laki-laki;Bekasi;Marketing;Staff;
230;Karyawan 230;1000000230;Laki-laki;Bekasi;Finance;Staff;
231;Karyawan 231;1000000231;Perempuan;Tangerang;IT;Supervisor;
232;Karyawan 232;1000000232;Laki-laki;Jakarta;IT;Supervisor;
233;Karyawan 233;1000000233;Laki-laki;Depok;Operations;Senior Manager;
234;Karyawan 234;1000000234;Laki-laki;Tangerang;Finance;Staff;
235;Karyawan 235;1000000235;Laki-laki;Jakarta;IT;Supervisor;
236;Karyawan 236;1000000236;Perempuan;Bogor;HR;Manager;
237;Karyawan 237;1000000237;Laki-laki;Jakarta;Marketing;Supervisor;
238;Karyawan 238;1000000238;Perempuan;Bogor;Finance;Staff;
239;Karyawan 239;1000000239;Perempuan;Bogor;IT;Supervisor;
240;Karyawan 240;1000000240;Perempuan;Tangerang;Marketing;Senior Manager;
241;Karyawan 241;1000000241;Laki-laki;Bogor;IT;Senior Manager;
242;Karyawan 242;1000000242;Perempuan;Tangerang;HR;Senior Manager;
243;Karyawan 243;1000000243;Laki-laki;Jakarta;IT;Staff;
244;Karyawan 244;1000000244;Laki-laki;Depok;Finance;Staff;
245;Karyawan 245;1000000245;Laki-laki;Bekasi;Marketing;Manager;
246;Karyawan 246;1000000246;Perempuan;Bogor;Marketing;Supervisor;
247;Karyawan 247;1000000247;Perempuan;Jakarta;Finance;Supervisor;
248;Karyawan 248;1000000248;Perempuan;Tangerang;Marketing;Staff;
249;Karyawan 249;1000000249;Laki-laki;Jakarta;Operations;Manager;
250;Karyawan 250;1000000250;Laki-laki;Jakarta;Finance;Supervisor;
251;Karyawan 251;1000000251;Laki-laki;Depok;HR;Director;
252;Karyawan 252;1000000252;Laki-laki;Jakarta;IT;Staff;
253;Karyawan 253;1000000253;Laki-laki;Bogor;Marketing;Director;
254;Karyawan 254;1000000254;Laki-laki;Jakarta;Finance;Supervisor;
255;Karyawan 255;1000000255;Perempuan;Tangerang;HR;Director;
256;Karyawan 256;1000000256;Laki-laki;Tangerang;Finance;Staff;
257;Karyawan 257;1000000257;Laki-laki;Bekasi;HR;Director;
258;Karyawan 258;1000000258;Laki-laki;Bogor;Operations;Staff;
259;Karyawan 259;1000000259;Laki-laki;Bekasi;Operations;Supervisor;
260;Karyawan 260;1000000260;Laki-laki;Bogor;Marketing;Senior Manager;
261;Karyawan 261;1000000261;Perempuan;Depok;IT;Supervisor;
262;Karyawan 262;1000000262;Perempuan;Bogor;IT;Supervisor;
263;Karyawan 263;1000000263;Perempuan;Bogor;Operations;Director;
264;Karyawan 264;1000000264;Perempuan;Bogor;HR;Senior Manager;
265;Karyawan 265;1000000265;Laki-laki;Bekasi;Finance;Manager;
266;Karyawan 266;1000000266;Perempuan;Bogor;HR;Director;
267;Karyawan 267;1000000267;Laki-laki;Depok;IT;Manager;
268;Karyawan 268;1000000268;Perempuan;Bogor;IT;Staff;
269;Karyawan 269;1000000269;Laki-laki;Depok;IT;Staff;
270;Karyawan 270;1000000270;Perempuan;Tangerang;Finance;Supervisor;
271;Karyawan 271;1000000271;Perempuan;Depok;IT;Senior Manager;
272;Karyawan 272;1000000272;Laki-laki;Depok;Operations;Director;
273;Karyawan 273;1000000273;Perempuan;Depok;HR;Manager;
274;Karyawan 274;1000000274;Laki-laki;Depok;IT;Manager;
275;Karyawan 275;1000000275;Laki-laki;Bekasi;IT;Supervisor;
276;Karyawan 276;1000000276;Laki-laki;Jakarta;Marketing;Supervisor;
277;Karyawan 277;1000000277;Laki-laki;Jakarta;IT;Supervisor;
278;Karyawan 278;1000000278;Perempuan;Depok;HR;Senior Manager;
279;Karyawan 279;1000000279;Laki-laki;Jakarta;HR;Senior Manager;
280;Karyawan 280;1000000280;Laki-laki;Jakarta;Marketing;Manager;
281;Karyawan 281;1000000281;Laki-laki;Tangerang;Operations;Manager;
282;Karyawan 282;1000000282;Perempuan;Bogor;HR;Director;
283;Karyawan 283;1000000283;Perempuan;Tangerang;Finance;Staff;
284;Karyawan 284;1000000284;Laki-laki;Bogor;Marketing;Supervisor;
285;Karyawan 285;1000000285;Laki-laki;Bogor;IT;Supervisor;
286;Karyawan 286;1000000286;Laki-laki;Depok;Marketing;Supervisor;
287;Karyawan 287;1000000287;Perempuan;Depok;IT;Manager;
288;Karyawan 288;1000000288;Perempuan;Depok;Finance;Supervisor;
289;Karyawan 289;1000000289;Perempuan;Bekasi;HR;Manager;
290;Karyawan 290;1000000290;Laki-laki;Bekasi;IT;Director;
291;Karyawan 291;1000000291;Perempuan;Bekasi;HR;Supervisor;
292;Karyawan 292;1000000292;Perempuan;Bekasi;IT;Supervisor;
293;Karyawan 293;1000000293;Laki-laki;Tangerang;HR;Senior Manager;
294;Karyawan 294;1000000294;Laki-laki;Bekasi;Finance;Staff;
295;Karyawan 295;1000000295;Laki-laki;Jakarta;Marketing;Senior Manager;
296;Karyawan 296;1000000296;Perempuan;Bekasi;Finance;Staff;
297;Karyawan 297;1000000297;Perempuan;Bogor;HR;Senior Manager;
298;Karyawan 298;1000000298;Perempuan;Tangerang;Finance;Senior Manager;
299;Karyawan 299;1000000299;Laki-laki;Tangerang;Operations;Staff;
300;Karyawan 300;1000000300;Laki-laki;Tangerang;Finance;Director;
301;Karyawan 301;1000000301;Laki-laki;Bekasi;Finance;Staff;
302;Karyawan 302;1000000302;Perempuan;Depok;HR;Staff;
303;Karyawan 303;1000000303;Perempuan;Bogor;Marketing;Manager;
304;Karyawan 304;1000000304;Perempuan;Depok;Finance;Supervisor;
305;Karyawan 305;1000000305;Perempuan;Tangerang;IT;Senior Manager;
306;Karyawan 306;1000000306;Perempuan;Jakarta;Operations;Director;
307;Karyawan 307;1000000307;Laki-laki;Bekasi;HR;Senior Manager;
308;Karyawan 308;1000000308;Laki-laki;Bogor;IT;Senior Manager;
309;Karyawan 309;1000000309;Laki-laki;Bekasi;HR;Staff;
310;Karyawan 310;1000000310;Laki-laki;Tangerang;Operations;Director;
311;Karyawan 311;1000000311;Laki-laki;Tangerang;Finance;Director;
312;Karyawan 312;1000000312;Perempuan;Tangerang;IT;Staff;
313;Karyawan 313;1000000313;Perempuan;Jakarta;IT;Manager;
314;Karyawan 314;1000000314;Laki-laki;Depok;Marketing;Manager;
315;Karyawan 315;1000000315;Laki-laki;Bogor;HR;Director;
316;Karyawan 316;1000000316;Perempuan;Tangerang;IT;Supervisor;
317;Karyawan 317;1000000317;Perempuan;Bogor;Marketing;Supervisor;
318;Karyawan 318;1000000318;Perempuan;Tangerang;IT;Director;
319;Karyawan 319;1000000319;Laki-laki;Depok;IT;Manager;
320;Karyawan 320;1000000320;Laki-laki;Bekasi;Finance;Senior Manager;
321;Karyawan 321;1000000321;Laki-laki;Bekasi;IT;Manager;
322;Karyawan 322;1000000322;Laki-laki;Bogor;Operations;Director;
323;Karyawan 323;1000000323;Perempuan;Jakarta;Finance;Supervisor;
324;Karyawan 324;1000000324;Laki-laki;Tangerang;IT;Senior Manager;
325;Karyawan 325;1000000325;Perempuan;Bekasi;Marketing;Staff;
326;Karyawan 326;1000000326;Laki-laki;Depok;IT;Staff;
327;Karyawan 327;1000000327;Laki-laki;Depok;Finance;Staff;
328;Karyawan 328;1000000328;Perempuan;Bogor;IT;Director;
329;Karyawan 329;1000000329;Laki-laki;Jakarta;Operations;Director;
330;Karyawan 330;1000000330;Perempuan;Tangerang;HR;Staff;
331;Karyawan 331;1000000331;Laki-laki;Bekasi;HR;Senior Manager;
332;Karyawan 332;1000000332;Perempuan;Tangerang;Marketing;Staff;
333;Karyawan 333;1000000333;Perempuan;Bogor;Operations;Staff;
334;Karyawan 334;1000000334;Laki-laki;Bekasi;IT;Staff;
335;Karyawan 335;1000000335;Perempuan;Jakarta;Marketing;Manager;
336;Karyawan 336;1000000336;Laki-laki;Bekasi;HR;Manager;
337;Karyawan 337;1000000337;Laki-laki;Bekasi;Operations;Director;
338;Karyawan 338;1000000338;Perempuan;Tangerang;HR;Staff;
339;Karyawan 339;1000000339;Perempuan;Bogor;IT;Manager;
340;Karyawan 340;1000000340;Laki-laki;Bogor;IT;Manager;
341;Karyawan 341;1000000341;Laki-laki;Bogor;Marketing;Senior Manager;
342;Karyawan 342;1000000342;Perempuan;Bekasi;Finance;Staff;
343;Karyawan 343;1000000343;Laki-laki;Tangerang;Finance;Staff;
344;Karyawan 344;1000000344;Laki-laki;Bekasi;Finance;Director;
345;Karyawan 345;1000000345;Perempuan;Tangerang;Finance;Director;
346;Karyawan 346;1000000346;Laki-laki;Depok;HR;Manager;
347;Karyawan 347;1000000347;Perempuan;Tangerang;HR;Senior Manager;
348;Karyawan 348;1000000348;Laki-laki;Jakarta;HR;Supervisor;
349;Karyawan 349;1000000349;Perempuan;Tangerang;Finance;Director;
350;Karyawan 350;1000000350;Laki-laki;Jakarta;HR;Manager;
351;Karyawan 351;1000000351;Laki-laki;Bogor;IT;Senior Manager;
352;Karyawan 352;1000000352;Perempuan;Bogor;HR;Director;
353;Karyawan 353;1000000353;Perempuan;Bogor;Operations;Supervisor;
354;Karyawan 354;1000000354;Laki-laki;Depok;IT;Senior Manager;
355;Karyawan 355;1000000355;Laki-laki;Bogor;Operations;Supervisor;
356;Karyawan 356;1000000356;Perempuan;Bogor;Finance;Senior Manager;
357;Karyawan 357;1000000357;Perempuan;Bekasi;Marketing;Director;
358;Karyawan 358;1000000358;Perempuan;Tangerang;IT;Manager;
359;Karyawan 359;1000000359;Perempuan;Jakarta;Finance;Supervisor;
360;Karyawan 360;1000000360;Laki-laki;Depok;Finance;Manager;
361;Karyawan 361;1000000361;Laki-laki;Jakarta;Marketing;Director;
362;Karyawan 362;1000000362;Perempuan;Bekasi;Operations;Manager;
363;Karyawan 363;1000000363;Perempuan;Tangerang;HR;Staff;
364;Karyawan 364;1000000364;Perempuan;Tangerang;Operations;Staff;
365;Karyawan 365;1000000365;Laki-laki;Tangerang;Finance;Manager;
366;Karyawan 366;1000000366;Laki-laki;Bogor;Marketing;Director;
367;Karyawan 367;1000000367;Laki-laki;Bogor;Operations;Director;
368;Karyawan 368;1000000368;Perempuan;Jakarta;Marketing;Director;
369;Karyawan 369;1000000369;Laki-laki;Depok;Finance;Senior Manager;
370;Karyawan 370;1000000370;Laki-laki;Tangerang;Operations;Staff;
371;Karyawan 371;1000000371;Perempuan;Bogor;HR;Director;
372;Karyawan 372;1000000372;Laki-laki;Tangerang;Operations;Staff;
373;Karyawan 373;1000000373;Perempuan;Bogor;IT;Manager;
374;Karyawan 374;1000000374;Perempuan;Bogor;HR;Staff;
375;Karyawan 375;1000000375;Perempuan;Bogor;Finance;Manager;
376;Karyawan 376;1000000376;Laki-laki;Bogor;Operations;Director;
377;Karyawan 377;1000000377;Laki-laki;Jakarta;IT;Manager;
378;Karyawan 378;1000000378;Perempuan;Jakarta;Marketing;Supervisor;
379;Karyawan 379;1000000379;Laki-laki;Bekasi;HR;Senior Manager;
380;Karyawan 380;1000000380;Laki-laki;Bogor;Marketing;Director;
381;Karyawan 381;1000000381;Laki-laki;Depok;Finance;Director;
382;Karyawan 382;1000000382;Perempuan;Bogor;HR;Senior Manager;
383;Karyawan 383;1000000383;Laki-laki;Bogor;Operations;Staff;
